dataset,filename,method,niqe
sots_o,0064_0.8_0.2.png,dcp,21.026593
sots_o,0064_0.8_0.2.png,aodnet,21.922902
sots_o,0065_0.9_0.12.png,original,19.772710
sots_o,0065_0.9_0.12.png,dcp,19.101017
sots_o,0065_0.9_0.12.png,aodnet,19.742349
sots_o,0066_1_0.08.png,original,21.175676
sots_o,0066_1_0.08.png,dcp,20.355007
sots_o,0066_1_0.08.png,aodnet,20.644582
sots_o,0068_1_0.16.png,original,20.022782
sots_o,0068_1_0.16.png,dcp,19.792953
sots_o,0068_1_0.16.png,aodnet,20.079381
sots_o,0069_0.9_0.16.png,original,20.877092
sots_o,0069_0.9_0.16.png,dcp,20.463709
sots_o,0069_0.9_0.16.png,aodnet,21.171814
sots_o,0070_0.9_0.12.png,original,19.964738
sots_o,0070_0.9_0.12.png,dcp,19.818197
sots_o,0070_0.9_0.12.png,aodnet,20.001391
sots_o,0071_0.8_0.2.png,original,19.882736
sots_o,0071_0.8_0.2.png,dcp,19.249183
sots_o,0071_0.8_0.2.png,aodnet,19.857657
sots_o,0072_0.9_0.2.png,original,21.029536
sots_o,0072_0.9_0.2.png,dcp,20.891034
sots_o,0072_0.9_0.2.png,aodnet,20.836757
sots_o,0073_0.8_0.16.png,original,20.216243
sots_o,0073_0.8_0.16.png,dcp,19.699003
sots_o,0073_0.8_0.16.png,aodnet,20.270322
sots_o,0074_0.8_0.2.png,original,20.277232
sots_o,0074_0.8_0.2.png,dcp,20.135877
sots_o,0074_0.8_0.2.png,aodnet,20.359758
sots_o,0075_0.8_0.2.png,original,20.206181
sots_o,0075_0.8_0.2.png,dcp,19.377029
sots_o,0075_0.8_0.2.png,aodnet,20.221257
sots_o,0076_0.8_0.2.png,original,20.514921
sots_o,0076_0.8_0.2.png,dcp,20.246528
sots_o,0076_0.8_0.2.png,aodnet,20.676609
sots_o,0076_1_0.16.png,original,20.438976
sots_o,0076_1_0.16.png,dcp,20.123930
sots_o,0076_1_0.16.png,aodnet,20.638830
sots_o,0077_0.8_0.2.png,original,20.904678
sots_o,0077_0.8_0.2.png,dcp,20.283016
sots_o,0077_0.8_0.2.png,aodnet,20.771048
sots_o,0079_0.8_0.12.png,original,20.149811
sots_o,0079_0.8_0.12.png,dcp,19.913321
sots_o,0079_0.8_0.12.png,aodnet,20.245537
sots_o,0081_0.8_0.2.png,original,20.301759
sots_o,0081_0.8_0.2.png,dcp,20.236670
sots_o,0081_0.8_0.2.png,aodnet,20.393151
sots_o,0082_0.85_0.16.png,original,20.398308
sots_o,0082_0.85_0.16.png,dcp,20.298756
sots_o,0082_0.85_0.16.png,aodnet,20.528323
sots_o,0083_0.85_0.12.png,original,20.389004
sots_o,0083_0.85_0.12.png,dcp,20.310250
sots_o,0083_0.85_0.12.png,aodnet,20.505761
sots_o,0084_0.95_0.16.png,original,19.711779
